dataset_path,model_key,model_label,family,model,defense_key,defense_profile,run_id,run_dir
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d1_base,D1,20260319T104900Z_a4d0ad,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260319T104900Z_a4d0ad
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d1_lowtemp,D1,20260320T112600Z_855abf,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260320T112600Z_855abf
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d2_base,D2,20260321T120300Z_183fb4,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260321T120300Z_183fb4
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d2_lowtemp,D2,20260322T124000Z_92962e,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260322T124000Z_92962e
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d2_postfilter_strict,D2,20260323T131700Z_a0aa93,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260323T131700Z_a0aa93
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d3_soft,D3,20260324T135400Z_7c5509,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260324T135400Z_7c5509
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d3_soft_lowtemp,D3,20260325T143100Z_b287ac,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260325T143100Z_b287ac
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d3_strict,D3,20260326T150800Z_2dd804,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260326T150800Z_2dd804
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d3_strict_lowtemp,D3,20260327T154500Z_0871d8,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260327T154500Z_0871d8
data/merged_safety_utility_big.jsonl,llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Llama,meta-llama/Llama-3.1-8B-Instruct,d3_strict_lowtok,D3,20260328T162200Z_e8fc51,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260328T162200Z_e8fc51
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d0_base,D0,20260329T024800Z_6fe11f,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260329T024800Z_6fe11f
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d0_lowtemp,D0,20260330T091514Z_431f89,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_mistral_q5/20260330T091514Z_431f89
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d1_base,D1,20260331T032500Z_e2b469,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260331T032500Z_e2b469
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d1_lowtemp,D1,20260401T040200Z_253b72,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260401T040200Z_253b72
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d2_base,D2,20260402T043900Z_444515,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260402T043900Z_444515
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d2_lowtemp,D2,20260403T051600Z_f9cfd3,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260403T051600Z_f9cfd3
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d2_postfilter_strict,D2,20260404T055300Z_eec753,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260404T055300Z_eec753
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d3_soft,D3,20260405T063000Z_bd69aa,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260405T063000Z_bd69aa
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d3_soft_lowtemp,D3,20260406T070700Z_02c8fb,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260406T070700Z_02c8fb
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d3_strict,D3,20260407T074400Z_c7ae63,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260407T074400Z_c7ae63
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d3_strict_lowtemp,D3,20260408T082100Z_00b562,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260408T082100Z_00b562
data/merged_safety_utility_big.jsonl,mistral_7b_instruct_q5,Mistral 7B Instruct Q5,Mistral,mistral-7b-instruct-v0.3@q5_k_m,d3_strict_lowtok,D3,20260409T085800Z_ceed14,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260409T085800Z_ceed14
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d0_base,D0,20260410T192400Z_cea8d1,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260410T192400Z_cea8d1
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d0_lowtemp,D0,20260411T200100Z_85924c,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260411T200100Z_85924c
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d1_base,D1,20260412T203800Z_d8611e,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260412T203800Z_d8611e
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d1_lowtemp,D1,20260413T211500Z_afd44e,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260413T211500Z_afd44e
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d2_base,D2,20260414T215200Z_41279d,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260414T215200Z_41279d
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d2_lowtemp,D2,20260415T222900Z_46d94c,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260415T222900Z_46d94c
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d2_postfilter_strict,D2,20260416T230600Z_a311da,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260416T230600Z_a311da
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d3_soft,D3,20260417T234300Z_ec8488,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260417T234300Z_ec8488
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d3_soft_lowtemp,D3,20260418T002000Z_bfc470,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260418T002000Z_bfc470
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d3_strict,D3,20260419T005700Z_0284a8,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260419T005700Z_0284a8
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d3_strict_lowtemp,D3,20260420T013400Z_6679ca,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260420T013400Z_6679ca
data/merged_safety_utility_big.jsonl,qwen2_5_7b_instruct,Qwen 2.5 7B Instruct,Qwen,Qwen/Qwen2.5-7B-Instruct,d3_strict_lowtok,D3,20260421T021100Z_fc7ddd,/Users/m.roslovets/Downloads/llm_bench_cli_utility_v1/runs_matrix/20260421T021100Z_fc7ddd
